,Title,AII
0,Accountants and Auditors,0.034482758620689655
1,Actors,0.0
2,Actuaries,0.0
3,Acupuncturists,0.1111111111111111
4,Acute Care Nurses,0.2222222222222222
5,Adapted Physical Education Specialists,0.0
6,Adhesive Bonding Machine Operators and Tenders,0.25
7,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.0
8,Administrative Services Managers,0.0
9,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.02702702702702703
10,Advanced Practice Psychiatric Nurses,0.125
11,Advertising Sales Agents,0.05
12,Advertising and Promotions Managers,0.03333333333333333
13,Aerospace Engineering and Operations Technologists and Technicians,0.18181818181818182
14,Aerospace Engineers,0.25
15,"Agents and Business Managers of Artists, Performers, and Athletes",0.0
16,Agricultural Engineers,0.07142857142857142
17,Agricultural Equipment Operators,0.23529411764705882
18,Agricultural Inspectors,0.125
19,"Agricultural Sciences Teachers, Postsecondary",0.0
20,Agricultural Technicians,0.038461538461538464
21,Air Traffic Controllers,0.6956521739130435
22,Aircraft Cargo Handling Supervisors,0.3333333333333333
23,Aircraft Mechanics and Service Technicians,0.10526315789473684
24,Aircraft Service Attendants,0.2777777777777778
25,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.25925925925925924
26,Airfield Operations Specialists,0.14814814814814814
27,"Airline Pilots, Copilots, and Flight Engineers",0.375
28,Allergists and Immunologists,0.125
29,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.0
30,Amusement and Recreation Attendants,0.058823529411764705
31,Anesthesiologist Assistants,0.25
32,Anesthesiologists,0.0
33,Animal Breeders,0.19047619047619047
34,Animal Caretakers,0.09090909090909091
35,Animal Control Workers,0.0
36,Animal Scientists,0.1111111111111111
37,Animal Trainers,0.13333333333333333
38,Anthropologists and Archeologists,0.0
39,"Anthropology and Archeology Teachers, Postsecondary",0.0
40,Appraisers and Assessors of Real Estate,0.0
41,Appraisers of Personal and Business Property,0.0
42,"Arbitrators, Mediators, and Conciliators",0.0
43,"Architects, Except Landscape and Naval",0.08333333333333333
44,Architectural and Civil Drafters,0.10714285714285714
45,Architectural and Engineering Managers,0.0
46,"Architecture Teachers, Postsecondary",0.0
47,Archivists,0.0
48,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.0
49,Art Directors,0.0625
50,Art Therapists,0.0
51,"Art, Drama, and Music Teachers, Postsecondary",0.0
52,Astronomers,0.0
53,Athletes and Sports Competitors,0.0
54,Athletic Trainers,0.043478260869565216
55,Atmospheric and Space Scientists,0.3333333333333333
56,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.0
57,Audio and Video Technicians,0.20689655172413793
58,Audiologists,0.09090909090909091
59,Audiovisual Equipment Installers and Repairers,0.09090909090909091
60,Automotive Body and Related Repairers,0.0
61,Automotive Engineering Technicians,0.2222222222222222
62,Automotive Engineers,0.12
63,Automotive Glass Installers and Repairers,0.0
64,Automotive Service Technicians and Mechanics,0.26666666666666666
65,Automotive and Watercraft Service Attendants,0.0
66,Aviation Inspectors,0.15384615384615385
67,Avionics Technicians,0.38461538461538464
68,Baggage Porters and Bellhops,0.058823529411764705
69,Bailiffs,0.06666666666666667
70,Bakers,0.16666666666666666
71,Barbers,0.0
72,Baristas,0.05263157894736842
73,Bartenders,0.0
74,Bicycle Repairers,0.0
75,Bill and Account Collectors,0.0
76,Billing and Posting Clerks,0.07142857142857142
77,Biochemists and Biophysicists,0.0
78,Bioengineers and Biomedical Engineers,0.16666666666666666
79,Biofuels Processing Technicians,0.2631578947368421
80,Biofuels Production Managers,0.07142857142857142
81,Biofuels/Biodiesel Technology and Product Development Managers,0.05555555555555555
82,Bioinformatics Scientists,0.05
83,Bioinformatics Technicians,0.10526315789473684
84,"Biological Science Teachers, Postsecondary",0.0
85,Biological Technicians,0.058823529411764705
86,Biologists,0.045454545454545456
87,Biomass Plant Technicians,0.16666666666666666
88,Biomass Power Plant Managers,0.15789473684210525
89,Biostatisticians,0.04
90,Blockchain Engineers,0.23529411764705882
91,Boilermakers,0.05555555555555555
92,"Bookkeeping, Accounting, and Auditing Clerks",0.03571428571428571
