Sector,Automation_Score,Augmentation Score
Architecture and Engineering Occupations,0.5951654422352938,0.2963549959893144
"Arts, Design, Entertainment, Sports, and Media Occupations",0.5526843397340822,0.2596033535572596
Building and Grounds Cleaning and Maintenance Occupations,0.34286646540635335,0.3733737098143004
Business and Financial Operations Occupations,0.7041422410474115,0.12363740200531141
Community and Social Service Occupations,0.5614192949813605,0.13333618353638763
Computer and Mathematical Occupations,0.6863678149533154,0.2747246169167895
Construction and Extraction Occupations,0.22473898627675956,0.3986099477069156
Educational Instruction and Library Occupations,0.6122467502379054,0.1163330218881599
"Farming, Fishing, and Forestry Occupations",0.37625307173920325,0.3656592287047167
Food Preparation and Serving Related Occupations,0.4360073903754446,0.34174031443384734
Healthcare Practitioners and Technical Occupations,0.4391989565596617,0.37845300781388863
Healthcare Support Occupations,0.29737593663004697,0.4456717089191524
"Installation, Maintenance, and Repair Occupations",0.2532945576828518,0.4306262447118836
Legal Occupations,0.7185900900990786,0.04117625886333369
"Life, Physical, and Social Science Occupations",0.6432093868946492,0.19812080959363595
Management Occupations,0.7075523820145638,0.10378496171942896
Office and Administrative Support Occupations,0.6163393648490285,0.20391563697770548
Personal Care and Service Occupations,0.36783354794832934,0.38090411314835876
Production Occupations,0.40849320317490595,0.3968299637424924
Protective Service Occupations,0.442090552772032,0.3691256587205084
Sales and Related Occupations,0.5810927390284181,0.22141504658069974
Transportation and Material Moving Occupations,0.4236133511412582,0.38893996391102625
