,Unnamed: 0,Title,O*NET-SOC Code,Weighted_Labelscore,Sum_Importance_Scores,Absolute_AGI_Importance_Score,Absolute_Non_AGI_Importance_Score,Augmentation_Score,A0,A1,A2,A3,A4,P,Augmentation Rank,Automation Score,Automation Rank,AII,AII Rank,Auto-AII Rank-Diff,Aug-AII Rank-Diff
0,446,Medical Dosimetrists,29-2036.00,8.29,79.14,15.13,64.01,0.3092606462100891,1,1,1,2,0,14,482,0.1047510740459944,899,0.7368421052631579,1,-898,-481
1,878,Air Traffic Controllers,53-2021.00,22.5225,102.89,30.03,72.86,0.4133597256792545,0,0,0,7,0,16,337,0.218898823986782,839,0.6956521739130435,2,-837,-335
2,342,Special Effects Artists and Animators,27-1014.00,13.51,48.1,16.58,31.52,0.4517629159625003,0,0,0,3,1,9,247,0.2808731808731808,773,0.6923076923076923,3,-770,-244
3,619,Public Safety Telecommunicators,43-5031.00,25.5175,82.13,35.72,46.41,0.4915292518599035,0,1,1,4,2,10,90,0.3106964568367222,737,0.5555555555555556,4,-733,-86
4,178,Solar Energy Systems Engineers,17-2199.11,16.2625,48.76,22.87,25.89,0.498081965139058,0,0,1,5,0,7,42,0.3335213289581624,710,0.5384615384615384,5,-705,-37
5,441,Cardiovascular Technologists and Technicians,29-2031.00,21.215,94.45,34.21,60.24,0.4620235455274343,2,1,4,1,2,11,216,0.2246161990471148,832,0.5238095238095238,6,-826,-210
6,461,Ophthalmic Medical Technologists,29-2099.05,28.6275,130.34,51.31,79.03,0.4773847692731907,2,3,4,6,0,16,162,0.2196371029614853,838,0.5161290322580645,7,-831,-155
7,454,Ophthalmic Medical Technicians,29-2057.00,15.1525,87.25,31.08,56.17,0.4586533378215286,2,3,3,2,0,10,224,0.1736676217765043,868,0.5,8,-860,-216
8,445,Magnetic Resonance Imaging Technologists,29-2035.00,27.6325,106.62,47.89,58.73,0.4948316583778336,2,3,2,6,0,11,73,0.2591680735321703,795,0.4583333333333333,9,-786,-64
9,240,Precision Agriculture Technicians,19-4012.01,31.175,83.08,40.74,42.34,0.4998145542033724,1,1,2,4,4,10,11,0.3752407318247472,665,0.4545454545454545,10,-655,-1
