occupation,AGI-specific,NOT AGI-specific
Management Analysts,11,0
Natural Sciences Managers,16,0
Financial Quantitative Analysts,21,0
Nuclear Engineers,20,0
Nuclear Power Reactor Operators,19,0
Financial Managers,17,0
Paralegals and Legal Assistants,12,0
Compensation and Benefits Managers,22,0
"Compensation, Benefits, and Job Analysis Specialists",22,0
Compliance Managers,29,0
Biochemists and Biophysicists,24,0
Compliance Officers,16,0
Bill and Account Collectors,15,0
Mental Health Counselors,27,0
Financial Examiners,17,0
Farm Labor Contractors,7,0
"Political Science Teachers, Postsecondary",22,0
Political Scientists,14,0
"Family and Consumer Sciences Teachers, Postsecondary",23,0
Facilities Managers,11,0
Procurement Clerks,19,0
Chief Sustainability Officers,18,0
"Production, Planning, and Expediting Clerks",17,0
Project Management Specialists,20,0
Equal Opportunity Representatives and Officers,18,0
"Computer Science Teachers, Postsecondary",26,0
Epidemiologists,16,0
"Physics Teachers, Postsecondary",24,0
Public Relations Specialists,18,0
Financial and Investment Analysts,26,0
Marriage and Family Therapists,15,0
Chief Executives,31,0
Gambling Managers,19,0
"Chemistry Teachers, Postsecondary",28,0
Chemical Technicians,16,0
Government Property Inspectors and Investigators,13,0
"Graders and Sorters, Agricultural Products",5,0
Health Education Specialists,16,0
Gambling Change Persons and Booth Cashiers,13,0
Fundraising Managers,16,0
Hospitalists,14,0
"Claims Adjusters, Examiners, and Investigators",29,0
Human Resources Managers,26,0
Mathematicians,12,0
Writers and Authors,20,0
Investment Fund Managers,20,0
Food Scientists and Technologists,13,0
Labor Relations Specialists,28,0
Climate Change Policy Analysts,14,0
Lawyers,22,0
"Business Teachers, Postsecondary",25,0
Clinical and Counseling Psychologists,30,0
Logisticians,22,0
Loss Prevention Managers,27,0
Budget Analysts,13,0
"Credit Authorizers, Checkers, and Clerks",16,0
Marketing Managers,20,0
Insurance Underwriters,7,0
Purchasing Managers,18,0
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",16,0
Quality Control Systems Managers,27,0
"Special Education Teachers, Elementary School",30,0
Statistical Assistants,14,0
Survey Researchers,16,0
Sustainability Specialists,14,0
Talent Directors,15,0
Technical Writers,15,0
"Agricultural Sciences Teachers, Postsecondary",23,0
"Title Examiners, Abstractors, and Searchers",16,0
Dietitians and Nutritionists,28,0
"Agents and Business Managers of Artists, Performers, and Athletes",14,0
Dietetic Technicians,13,0
Data Entry Keyers,9,0
Customer Service Representatives,13,0
Treasurers and Controllers,22,0
Correspondence Clerks,17,0
Administrative Services Managers,18,0
"Administrative Law Judges, Adjudicators, and Hearing Officers",14,0
Curators,15,0
Urban and Regional Planners,25,0
"Criminal Justice and Law Enforcement Teachers, Postsecondary",23,0
Credit Counselors,23,0
Actuaries,15,0
Wind Energy Operations Managers,16,0
"Sociology Teachers, Postsecondary",24,0
Sociologists,15,0
Speech-Language Pathology Assistants,11,0
"Child, Family, and School Social Workers",21,0
Regulatory Affairs Specialists,30,0
"Arbitrators, Mediators, and Conciliators",20,0
"Architecture Teachers, Postsecondary",22,0
"Eligibility Interviewers, Government Programs",17,0
Archivists,13,0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",23,0
"Education Teachers, Postsecondary",24,0
"Engineering Teachers, Postsecondary",24,0
"Securities, Commodities, and Financial Services Sales Agents",30,0
School Psychologists,19,0
Architectural and Engineering Managers,19,0
"Recreation and Fitness Studies Teachers, Postsecondary",23,0
Set and Exhibit Designers,27,0
Astronomers,17,0
Social and Community Service Managers,16,0
"Education Administrators, Kindergarten through Secondary",32,0
Environmental Engineering Technologists and Technicians,26,0
Art Therapists,25,0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",26,0
"Forestry and Conservation Science Teachers, Postsecondary",24,1
Customs Brokers,22,1
"English Language and Literature Teachers, Postsecondary",32,1
Environmental Economists,19,1
Funeral Home Managers,22,1
Gambling Cage Workers,16,1
"Environmental Science Teachers, Postsecondary",24,1
Fundraisers,27,1
Financial Risk Specialists,29,1
Editors,20,1
Fire-Prevention and Protection Engineers,13,1
First-Line Supervisors of Construction Trades and Extraction Workers,14,1
Economists,13,1
