                                                                                               occupation  A0  A1  A2  A3  A4  total
                                                             Special Education Teachers, Secondary School   2   1  31   4   1     39
                                                                Special Education Teachers, Middle School   3   4  26   6   0     39
                                                     Elementary School Teachers, Except Special Education   2   3  23   8   1     37
                                                          Kindergarten Teachers, Except Special Education   8   4  17   6   1     36
           Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors   1   3  18  11   3     36
                                                                                    Industrial Ecologists   0   0   5  18  13     36
                                                                    Special Education Teachers, Preschool   3   6  22   4   0     35
                                                             Preschool Teachers, Except Special Education   9   6  16   3   0     34
                            Telecommunications Equipment Installers and Repairers, Except Line Installers  10   7   8   6   3     34
                                                               Aircraft Mechanics and Service Technicians  12   2   2  18   0     34
                                                Educational, Guidance, and Career Counselors and Advisors   1   4  17   9   3     34
                                    Middle School Teachers, Except Special and Career/Technical Education   3   3  20   8   0     34
                                                                                                 Midwives   9   5   8   9   2     33
                                                                                 Real Estate Sales Agents   1   0  13  17   2     33
                                                  English Language and Literature Teachers, Postsecondary   1   4   7  14   7     33
                                                    Career/Technical Education Teachers, Secondary School   2   3  17   8   2     32
                                                 Education Administrators, Kindergarten through Secondary   0   0   3  26   3     32
                                                                                       Web Administrators   0   0   2  15  15     32
                    Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products   0   1  10  11  10     32
                                 Secondary School Teachers, Except Special and Career/Technical Education   2   3  22   4   0     31
                                                                           Clinical Research Coordinators   1   1   4  24   1     31
                                                                                         Chief Executives   0   0   0  29   2     31
                                                                        Fire Inspectors and Investigators   6   2   5  16   1     30
                                                                                             Firefighters  23   3   0   3   1     30
                                       Control and Valve Installers and Repairers, Except Mechanical Door  13   6   5   4   2     30
                                                      First-Line Supervisors of Gambling Services Workers   2   1   2  25   0     30
                                                                    Clinical and Counseling Psychologists   0   1  12  16   1     30
                                                            Jewelers and Precious Stone and Metal Workers  11   1   3  12   3     30
                                                                        Anthropologists and Archeologists   3   2   8  13   4     30
                                                       Career/Technical Education Teachers, Middle School   2   3  18   6   1     30
                                                                             Library Assistants, Clerical   1   7  13   2   7     30
                                                                                      Library Technicians   3   5   8   5   9     30
                                                                                              Legislators   1   1   4  24   0     30
                                             Securities, Commodities, and Financial Services Sales Agents   0   0   0  29   1     30
                                                                           Regulatory Affairs Specialists   0   0   0  28   2     30
                                                                             Search Marketing Strategists   0   0   3  19   8     30
                                       Plating Machine Setters, Operators, and Tenders, Metal and Plastic   3   6   5  16   0     30
                                                            Special Education Teachers, Elementary School   0   2  23   5   0     30
                                                                                            Loan Officers   0   0   3  23   3     29
                                                        Electric Motor, Power Tool, and Related Repairers  14   3   3   8   1     29
                          Secretaries and Administrative Assistants, Except Legal, Medical, and Executive   0   1   7  12   9     29
                                                                      Advertising and Promotions Managers   1   0   4  16   8     29
                                                                    Detectives and Criminal Investigators   4   1   4  19   1     29
                                                                     Court, Municipal, and License Clerks   0   0   4  23   2     29
                                                                                  Conservation Scientists   2   0   5  20   2     29
                                                                               Financial Risk Specialists   0   0   1  21   7     29
                                                                              Computer Network Architects   0   0   6  11  12     29
                                                                                      Compliance Managers   0   0   1  27   1     29
                                                                                 Self-Enrichment Teachers   0   1  15   5   8     29
                                                                               Clinical Nurse Specialists   2   1   4  21   1     29
                                                           Claims Adjusters, Examiners, and Investigators   0   0   2  25   2     29
                                                                                               Carpenters  19   7   1   2   0     29
                                                                News Analysts, Reporters, and Journalists   1   1   3  21   3     29
                                                                                  Environmental Engineers   2   0   3  20   4     29
                                                                                     Residential Advisors   3   1  13   9   3     29
                                                       Geoscientists, Except Hydrologists and Geographers   1   1   4  19   4     29
                                                                                       Nursing Assistants  12   8   7   2   0     29
                                                          Nursing Instructors and Teachers, Postsecondary   3   0   9  12   5     29
                                                                                  Producers and Directors   0   0   4  19   6     29
                                                                               Instructional Coordinators   0   1   8  16   4     29
                                            First-Line Supervisors of Firefighting and Prevention Workers   4   2   3  19   1     29
                                                                             Dietitians and Nutritionists   0   2   4  18   4     28
                                                                                              Fundraisers   1   0   4  20   3     28
                                                                              Fishing and Hunting Workers  15   4   0   9   0     28
                                                                                 Home Appliance Repairers  13   6   2   4   3     28
                                                                                Sailors and Marine Oilers  14   3   2   8   1     28
                                                     Inspectors, Testers, Sorters, Samplers, and Weighers   3   3   8  10   4     28
                                            Radio, Cellular, and Tower Equipment Installers and Repairers  19   1   0   8   0     28
                                                        Pressers, Textile, Garment, and Related Materials   8   7   5   8   0     28
                                                                              Labor Relations Specialists   0   0   3  24   1     28
                                                             Librarians and Media Collections Specialists   1   1  12  10   4     28
                                                                 Special Education Teachers, Kindergarten   2   2  21   3   0     28
                                                                        Chemistry Teachers, Postsecondary   0   2   9  10   7     28
                                         First-Line Supervisors of Farming, Fishing, and Forestry Workers   0   0   6  21   1     28
                                                                       Psychology Teachers, Postsecondary   0   2   7  13   6     28
                                                                                 Accountants and Auditors   0   0   2   7  19     28
                                                                  Appraisers and Assessors of Real Estate   1   1  11  12   3     28
                                                            Art, Drama, and Music Teachers, Postsecondary   2   0  10  11   5     28
                                                                                 Community Health Workers   5   3  12   6   1     27
                                                       Farmers, Ranchers, and Other Agricultural Managers   4   0   6  12   5     27
                                                       Transportation, Storage, and Distribution Managers   0   0   2  23   2     27
                                                                                       Logistics Analysts   0   0   2  11  14     27
                                                                                 Loss Prevention Managers   0   1   3  20   3     27
