occupation,A0,A1,A2,A3,A4,P
Accountants and Auditors,0,0,2,7,19,1
Actors,10,1,2,1,4,0
Actuaries,0,0,0,12,3,0
Acupuncturists,5,5,2,4,0,2
Acute Care Nurses,2,1,8,9,1,6
Adapted Physical Education Specialists,3,3,9,4,1,0
Adhesive Bonding Machine Operators and Tenders,1,2,2,6,1,4
"Administrative Law Judges, Adjudicators, and Hearing Officers",0,0,0,14,0,0
Administrative Services Managers,0,0,3,10,5,0
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1,3,18,11,3,1
Advanced Practice Psychiatric Nurses,2,3,2,14,0,3
Advertising Sales Agents,0,1,4,10,4,1
Advertising and Promotions Managers,1,0,4,16,8,1
Aerospace Engineering and Operations Technologists and Technicians,3,1,1,4,0,2
Aerospace Engineers,0,0,1,9,2,4
"Agents and Business Managers of Artists, Performers, and Athletes",0,0,5,8,1,0
Agricultural Engineers,1,0,0,10,2,1
Agricultural Equipment Operators,4,2,1,6,0,4
Agricultural Inspectors,1,0,0,13,0,2
"Agricultural Sciences Teachers, Postsecondary",0,1,8,6,8,0
Agricultural Technicians,5,1,7,8,4,1
Air Traffic Controllers,0,0,0,7,0,16
Aircraft Cargo Handling Supervisors,1,0,0,3,0,2
Aircraft Mechanics and Service Technicians,12,2,2,18,0,4
Aircraft Service Attendants,8,2,0,3,0,5
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",7,2,1,10,0,7
Airfield Operations Specialists,0,1,1,21,0,4
"Airline Pilots, Copilots, and Flight Engineers",1,1,0,13,0,9
Allergists and Immunologists,2,0,0,11,1,2
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",4,3,1,2,1,0
Amusement and Recreation Attendants,3,4,4,4,1,1
Anesthesiologist Assistants,2,0,2,7,1,4
Anesthesiologists,2,0,0,16,0,0
Animal Breeders,10,0,2,3,2,4
Animal Caretakers,5,3,4,6,2,2
Animal Control Workers,6,2,2,6,0,0
Animal Scientists,0,0,2,4,2,1
Animal Trainers,9,2,1,0,1,2
Anthropologists and Archeologists,3,2,8,13,4,0
"Anthropology and Archeology Teachers, Postsecondary",2,1,8,7,9,0
Appraisers and Assessors of Real Estate,1,1,11,12,3,0
Appraisers of Personal and Business Property,1,0,3,8,2,0
"Arbitrators, Mediators, and Conciliators",0,1,2,14,3,0
"Architects, Except Landscape and Naval",0,1,2,17,2,2
Architectural and Civil Drafters,1,1,2,20,1,3
Architectural and Engineering Managers,0,0,1,18,0,0
"Architecture Teachers, Postsecondary",0,2,6,8,6,0
Archivists,0,0,7,5,1,0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0,0,7,11,5,0
Art Directors,1,0,5,4,5,1
Art Therapists,0,1,19,4,1,0
"Art, Drama, and Music Teachers, Postsecondary",2,0,10,11,5,0
Astronomers,0,0,3,7,7,0
Athletes and Sports Competitors,4,2,2,1,0,0
Athletic Trainers,8,2,7,4,1,1
